epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9985,3.8923,3.30073,4.08417,0.01545,0.46829,0.0866,0.06706,3.62925,3.66435,4.14368,0.0006,0.0006,0.0006
2,28.462,2.87993,1.98997,3.08428,0.00706,0.51951,0.18509,0.12929,3.6334,3.48378,4.14384,0.00121396,0.00121396,0.00121396
3,39.8565,1.96915,1.49711,2.19448,0.23748,0.34634,0.15484,0.06874,2.9761,2.70784,3.03805,0.00182178,0.00182178,0.00182178
4,51.0904,1.64638,1.33329,1.89272,0.48996,0.36098,0.31546,0.15207,2.16877,3.30274,2.48575,0.0019703,0.0019703,0.0019703
5,62.2761,1.48383,1.23916,1.73987,0.63427,0.62683,0.66001,0.27931,1.82576,1.42835,2.06416,0.0019604,0.0019604,0.0019604
6,73.6423,1.38709,1.16966,1.64933,0.64093,0.63902,0.64902,0.27423,1.7848,1.35605,2.01432,0.0019505,0.0019505,0.0019505
7,84.8549,1.30967,1.12654,1.58635,0.6554,0.83171,0.72157,0.36888,1.6064,1.2698,1.8529,0.0019406,0.0019406,0.0019406
8,96.2571,1.27222,1.0801,1.54292,0.80785,0.82195,0.88371,0.57583,1.17587,1.02978,1.48712,0.0019307,0.0019307,0.0019307
9,107.582,1.23635,1.05217,1.5051,0.84338,0.67805,0.8218,0.42762,1.56265,1.12456,1.77289,0.0019208,0.0019208,0.0019208
10,119.024,1.1966,1.02522,1.47598,0.87807,0.88293,0.92608,0.6501,1.06297,0.87622,1.39795,0.0019109,0.0019109,0.0019109
11,130.413,1.17545,1.00596,1.45772,0.92764,0.81301,0.91951,0.60155,1.17342,1.01726,1.47311,0.001901,0.001901,0.001901
12,141.812,1.16572,0.98711,1.44558,0.91281,0.75854,0.88791,0.53758,1.29583,1.10264,1.57748,0.0018911,0.0018911,0.0018911
13,153.215,1.14187,0.96633,1.42539,0.93241,0.80752,0.93025,0.60363,1.21113,0.87468,1.46634,0.0018812,0.0018812,0.0018812
14,164.788,1.12197,0.95114,1.40646,0.96346,0.90046,0.96386,0.68248,0.9708,0.76059,1.32292,0.0018713,0.0018713,0.0018713
15,176.274,1.10984,0.938,1.40064,0.95403,0.92439,0.96425,0.63402,1.17435,0.80732,1.47238,0.0018614,0.0018614,0.0018614
16,187.559,1.09477,0.92103,1.38615,0.90617,0.87156,0.9429,0.68086,0.96941,0.71258,1.31381,0.0018515,0.0018515,0.0018515
17,198.945,1.08296,0.90921,1.37817,0.96236,0.93534,0.96029,0.62531,1.17382,0.79165,1.45472,0.0018416,0.0018416,0.0018416
18,210.452,1.06518,0.90169,1.36682,0.94897,0.90713,0.948,0.59099,1.27008,0.86508,1.53369,0.0018317,0.0018317,0.0018317
19,222.076,1.05552,0.89168,1.36062,0.95276,0.93466,0.96829,0.70908,0.91866,0.68298,1.28288,0.0018218,0.0018218,0.0018218
20,233.421,1.0539,0.8742,1.35647,0.98243,0.95474,0.97188,0.68609,1.08755,0.65416,1.3898,0.0018119,0.0018119,0.0018119
21,244.737,1.04482,0.86328,1.35237,0.96796,0.9578,0.9633,0.63712,1.11437,0.64531,1.4295,0.001802,0.001802,0.001802
22,256.133,1.04567,0.86045,1.34829,0.98759,0.97073,0.98119,0.74232,0.8862,0.61722,1.2652,0.0017921,0.0017921,0.0017921
23,267.471,1.01932,0.84361,1.33177,0.98228,0.94636,0.97286,0.69318,1.03358,0.57255,1.34627,0.0017822,0.0017822,0.0017822
24,278.903,1.01887,0.84579,1.3288,0.97811,0.95854,0.973,0.75513,0.85094,0.57095,1.23,0.0017723,0.0017723,0.0017723
25,290.318,1.01141,0.83396,1.32306,0.98019,0.96524,0.96714,0.71339,0.98033,0.65289,1.31931,0.0017624,0.0017624,0.0017624
26,301.826,1.01237,0.82974,1.32614,0.98981,0.94781,0.97254,0.69193,0.99532,0.62862,1.34376,0.0017525,0.0017525,0.0017525
27,313.566,0.99776,0.82312,1.31252,0.97741,0.96341,0.97291,0.69782,0.94594,0.58919,1.28963,0.0017426,0.0017426,0.0017426
28,325.254,1.00083,0.82076,1.31224,0.99492,0.95486,0.97343,0.67273,1.03372,0.58417,1.35954,0.0017327,0.0017327,0.0017327
29,336.403,0.99804,0.82089,1.31545,0.98416,0.95366,0.97243,0.71798,0.9063,0.56756,1.27017,0.0017228,0.0017228,0.0017228
30,347.838,0.98541,0.80122,1.30318,0.98986,0.95267,0.97251,0.74637,0.88784,0.52758,1.26514,0.0017129,0.0017129,0.0017129
31,359.365,0.98481,0.80131,1.30122,0.97671,0.96829,0.97783,0.70004,1.00174,0.58512,1.33158,0.001703,0.001703,0.001703
32,370.654,0.98495,0.79485,1.30204,0.98748,0.96208,0.97564,0.7043,1.01842,0.56689,1.33689,0.0016931,0.0016931,0.0016931
33,382.144,0.9736,0.79583,1.29121,0.98748,0.96168,0.97552,0.76689,0.78963,0.48617,1.18338,0.0016832,0.0016832,0.0016832
34,393.602,0.97744,0.792,1.29334,0.99394,0.95366,0.97306,0.72524,0.90909,0.52862,1.25778,0.0016733,0.0016733,0.0016733
35,404.996,0.96846,0.77927,1.2917,0.98033,0.95366,0.97162,0.74186,0.86404,0.49788,1.23563,0.0016634,0.0016634,0.0016634
36,416.334,0.95543,0.77277,1.28142,0.98227,0.96829,0.97266,0.73037,0.9398,0.57567,1.28484,0.0016535,0.0016535,0.0016535
37,427.719,0.96737,0.78665,1.28847,0.98502,0.96212,0.97393,0.75491,0.84951,0.52497,1.22453,0.0016436,0.0016436,0.0016436
38,439.154,0.95913,0.77063,1.28456,0.9975,0.97239,0.97452,0.75546,0.85779,0.49062,1.2349,0.0016337,0.0016337,0.0016337
39,450.395,0.95246,0.76419,1.28364,0.98819,0.95854,0.97427,0.7326,0.88087,0.53941,1.25011,0.0016238,0.0016238,0.0016238
40,461.83,0.9474,0.76511,1.27815,0.97446,0.93076,0.96156,0.63674,1.11215,0.63349,1.3999,0.0016139,0.0016139,0.0016139
41,473.105,0.94461,0.75536,1.27427,0.98848,0.97073,0.97364,0.75666,0.83914,0.53956,1.22429,0.001604,0.001604,0.001604
42,484.402,0.93278,0.75253,1.26581,0.99102,0.95854,0.97393,0.76655,0.8598,0.54692,1.23877,0.0015941,0.0015941,0.0015941
43,495.687,0.95119,0.75967,1.27615,0.98797,0.97073,0.97503,0.75999,0.86358,0.48348,1.23838,0.0015842,0.0015842,0.0015842
44,507.074,0.93102,0.74796,1.26333,0.99295,0.95366,0.97397,0.76526,0.81522,0.46712,1.21363,0.0015743,0.0015743,0.0015743
45,518.393,0.9311,0.74859,1.26818,0.98757,0.97317,0.98094,0.73882,0.876,0.47324,1.23486,0.0015644,0.0015644,0.0015644
46,529.6,0.93027,0.73855,1.2645,0.99499,0.96951,0.97453,0.70347,1.01303,0.50329,1.33171,0.0015545,0.0015545,0.0015545
47,541.047,0.92455,0.73589,1.25955,0.99749,0.96826,0.97559,0.78332,0.78396,0.45714,1.19134,0.0015446,0.0015446,0.0015446
48,552.553,0.92669,0.73731,1.26062,0.99197,0.96098,0.97448,0.7683,0.80902,0.47244,1.21652,0.0015347,0.0015347,0.0015347
49,564.035,0.91203,0.73151,1.2555,0.98915,0.9561,0.97259,0.75664,0.82862,0.47237,1.20869,0.0015248,0.0015248,0.0015248
50,575.518,0.92127,0.72361,1.25632,0.99252,0.97561,0.97498,0.79936,0.74967,0.44997,1.17198,0.0015149,0.0015149,0.0015149
51,586.836,0.90551,0.71506,1.25008,0.98994,0.97073,0.97451,0.7657,0.82504,0.43839,1.20929,0.001505,0.001505,0.001505
52,598.095,0.91127,0.70916,1.24891,0.99499,0.96873,0.97558,0.76509,0.849,0.45692,1.21484,0.0014951,0.0014951,0.0014951
53,609.379,0.90666,0.70855,1.2484,0.99593,0.97561,0.9766,0.76776,0.85748,0.44498,1.21629,0.0014852,0.0014852,0.0014852
54,620.522,0.90409,0.71461,1.24805,0.95075,0.92683,0.96587,0.74221,0.8197,0.50339,1.19089,0.0014753,0.0014753,0.0014753
55,631.981,0.89259,0.70115,1.24281,0.9968,0.97317,0.97537,0.79493,0.77381,0.4454,1.16616,0.0014654,0.0014654,0.0014654
56,643.392,0.90403,0.70557,1.2469,0.99556,0.97073,0.9757,0.77022,0.82981,0.4561,1.20344,0.0014555,0.0014555,0.0014555
57,654.549,0.91185,0.70896,1.24615,0.99393,0.97561,0.97593,0.79133,0.78503,0.39498,1.18025,0.0014456,0.0014456,0.0014456
58,665.884,0.89814,0.70772,1.24327,0.99723,0.97317,0.97728,0.76928,0.88163,0.43701,1.2461,0.0014357,0.0014357,0.0014357
59,677.164,0.90033,0.69788,1.24221,0.99416,0.96585,0.97571,0.75691,0.84771,0.44284,1.22121,0.0014258,0.0014258,0.0014258
